,Unnamed: 0,date,name,team,opposition,venue,batting_innings,innings_played,previous_average,previous_strike_rate,previous_centuries,previous_fifties,previous_zeros,runs,balls,not_out,previous_thirties,home
1233,1233,2009-06-11,242,13,4,29,,1,0.0,0.0,0,0,1,1,,True,0,0
1234,1234,2009-06-11,243,13,4,29,,1,0.0,0.0,0,0,1,23,,False,0,0
1235,1235,2009-06-11,244,13,4,29,,1,11.0,35.48387096774194,0,0,0,3,,False,0,0
1236,1236,2009-06-11,245,13,4,29,,1,22.0,62.85714285714285,0,0,0,28,,False,0,0
1237,1237,2009-06-11,314,13,4,29,,0,0.0,0.0,0,0,0,12,,False,0,0
1238,1238,2009-06-11,248,13,4,29,,1,0.0,106.25,0,0,0,2,,False,0,0
1239,1239,2009-06-11,247,13,4,29,,1,2.0,100.0,0,0,0,20,,False,0,0
1240,1240,2009-06-11,249,13,4,29,,1,0.0,57.14285714285714,0,0,0,14,,False,0,0
1241,1241,2009-06-11,315,13,4,29,,0,0.0,0.0,0,0,0,0,,False,0,0
1242,1242,2009-06-11,316,13,4,29,,0,0.0,0.0,0,0,0,8,,False,0,0
1243,1243,2009-06-11,317,13,4,29,,0,0.0,0.0,0,0,0,1,,True,0,0
1244,1244,2009-06-06,161,8,10,29,,11,29.81818181818182,109.0053439383583,0,4,1,50,,False,0,0
1245,1245,2009-06-06,203,8,10,29,,6,26.75,117.1307588075881,0,1,0,36,,False,1,0
1246,1246,2009-06-06,95,8,10,29,,12,30.71428571428572,96.31317110177406,0,0,1,26,,False,3,0
1247,1247,2009-06-06,163,8,10,29,,9,32.75,132.4956125819504,0,3,0,41,,False,2,0
1248,1248,2009-06-06,97,8,10,29,,4,49.5,79.24592391304348,0,1,1,10,,False,1,0
1249,1249,2009-06-06,202,8,10,29,,4,19.0,159.375,0,0,1,1,,True,0,0
1250,1250,2009-06-06,164,8,10,29,,9,30.0,96.88492063492065,0,0,2,11,,True,1,0
1251,1251,2009-06-06,123,10,8,29,,9,14.5,72.09589434395637,0,0,0,15,,False,1,0
1252,1252,2009-06-06,215,10,8,29,,2,37.5,168.2692307692308,0,1,0,41,,False,0,0
1253,1253,2009-06-06,126,10,8,29,,9,20.5,164.5208700764256,0,1,0,11,,False,1,0
1254,1254,2009-06-06,144,10,8,29,,7,10.14285714285714,95.66226171489328,0,0,1,8,,False,0,0
1255,1255,2009-06-06,128,10,8,29,,5,10.0,65.0,0,0,0,8,,False,0,0
1256,1256,2009-06-06,280,10,8,29,,1,3.0,60.0,0,0,0,16,,False,0,0
1257,1257,2009-06-06,129,10,8,29,,7,10.8,78.57142857142857,0,0,1,11,,False,0,0
1258,1258,2009-06-06,143,10,8,29,,6,27.0,94.4444444444444,0,0,0,11,,True,0,0
1259,1259,2009-06-06,281,10,8,29,,1,15.0,88.23529411764706,0,0,0,28,,False,0,0
1260,1260,2009-06-09,139,2,14,27,,10,22.83333333333333,96.47764573927364,0,1,2,41,,False,0,0
1261,1261,2009-06-09,136,2,14,27,,10,19.44444444444444,86.388884689308,0,0,0,18,,False,2,0
1262,1262,2009-06-09,10,2,14,27,,14,35.9,116.1381779309343,0,2,1,30,,False,3,0
1263,1263,2009-06-09,12,2,14,27,,12,22.36363636363636,85.91275376759246,0,1,2,36,,False,3,0
1264,1264,2009-06-09,138,2,14,27,,13,57.85714285714285,114.9862682786689,0,3,0,31,,True,2,0
1265,1265,2009-06-09,13,2,14,27,,11,16.0,148.8824333561176,0,0,1,13,,False,2,0
1266,1266,2009-06-09,197,2,14,27,,4,44.0,157.7678571428571,0,0,0,3,,True,0,0
1267,1267,2009-06-09,286,14,2,27,,1,2.0,66.66666666666666,0,0,0,13,,False,0,0
1268,1268,2009-06-09,318,14,2,27,,0,0.0,0.0,0,0,0,21,,False,0,0
1269,1269,2009-06-09,319,14,2,27,,0,0.0,0.0,0,0,0,13,,False,0,0
1270,1270,2009-06-09,292,14,2,27,,1,0.0,133.3333333333333,0,0,0,2,,False,0,0
1271,1271,2009-06-09,290,14,2,27,,1,0.0,133.3333333333333,0,0,0,14,,False,0,0
1272,1272,2009-06-09,288,14,2,27,,1,24.0,82.75862068965517,0,0,0,4,,False,0,0
1273,1273,2009-06-09,291,14,2,27,,1,0.0,0.0,0,0,1,0,,False,0,0
1274,1274,2009-06-09,320,14,2,27,,0,0.0,0.0,0,0,0,2,,False,0,0
1275,1275,2009-06-09,321,14,2,27,,0,0.0,0.0,0,0,0,11,,True,0,0
1276,1276,2009-06-09,322,14,2,27,,0,0.0,0.0,0,0,0,6,,False,0,0
1277,1277,2009-06-09,323,14,2,27,,0,0.0,0.0,0,0,0,1,,False,0,0
1278,1278,2009-06-12,98,5,2,27,,10,27.28571428571428,81.52852504638219,0,2,1,46,,False,1,0
1279,1279,2009-06-12,43,5,2,27,,11,32.9,116.8959235209235,0,3,2,26,,False,3,0
1280,1280,2009-06-12,99,5,2,27,,8,27.57142857142857,114.2763208923359,0,1,0,15,,False,1,0
1281,1281,2009-06-12,44,5,2,27,,10,26.28571428571428,97.44329237071172,0,1,1,19,,False,2,0
1282,1282,2009-06-12,169,5,2,27,,8,19.0,100.9304511278196,0,0,0,8,,False,1,0
1283,1283,2009-06-12,171,5,2,27,,8,37.2,128.4608483621641,0,0,1,5,,False,3,0
1284,1284,2009-06-12,324,5,2,27,,0,0.0,0.0,0,0,0,9,,True,0,0
1285,1285,2009-06-12,304,5,2,27,,1,1.0,33.33333333333333,0,0,0,0,,False,0,0
1286,1286,2009-06-12,103,5,2,27,,4,17.66666666666667,105.109649122807,0,0,0,2,,True,0,0
1287,1287,2009-06-12,136,2,5,27,,11,19.3,90.2236614058644,0,0,0,0,,False,2,0
1288,1288,2009-06-12,10,2,5,27,,15,35.36363636363637,115.5384898783958,0,2,1,28,,False,4,0
1289,1289,2009-06-12,139,2,5,27,,11,25.42857142857143,99.73041108262412,0,1,2,5,,False,1,0
1290,1290,2009-06-12,12,2,5,27,,13,23.5,93.15023424700844,0,1,2,50,,False,4,0
1291,1291,2009-06-12,138,2,5,27,,14,62.28571428571428,117.8443919730497,0,3,0,21,,False,3,0
1292,1292,2009-06-12,13,2,5,27,,12,15.75,151.9517543859649,0,0,1,0,,False,2,0
1293,1293,2009-06-12,197,2,5,27,,5,47.0,156.2142857142857,0,0,0,12,,False,0,0
1294,1294,2009-06-12,204,2,5,27,,2,7.0,153.3333333333333,0,0,0,3,,False,0,0
1295,1295,2009-06-12,205,2,5,27,,2,2.0,100.0,0,0,1,9,,True,0,0
1296,1296,2009-06-12,161,8,7,27,,12,31.5,108.7868135037788,0,5,1,14,,False,0,0
1297,1297,2009-06-12,203,8,7,27,,7,28.6,122.7580417108519,0,1,0,5,,False,2,0
1298,1298,2009-06-12,97,8,7,27,,5,36.33333333333334,85.61896135265701,0,1,1,5,,False,1,0
1299,1299,2009-06-12,163,8,7,27,,10,33.66666666666666,138.7698608475648,0,3,0,67,,False,3,0
1300,1300,2009-06-12,95,8,7,27,,13,30.125,98.42827515621636,0,0,1,11,,False,3,0
